"","feature_id","pathway_sortorder","biochemical","super_pathway","sub_pathway","comp_id","platform","chemical_id","ri","mass","cas","pubchem","kegg","group_hmdb"
"19265","19265","1935","1-stearoyl-2-oleoyl-GPS (18:0/18:1)","Lipid","Phosphatidylserine (PS)","19265","LC/MS Pos Late","100000639","3000","790.55930000000001",NA,"9547087",NA,"HMDB10163"
"31943","31943","1503","3-hydroxysebacate","Lipid","Fatty Acid, Monohydroxy","31943","LC/MS Neg","100001145","1282","217.10810000000001","73141-46-5","3017884",NA,"HMDB00350"
"35320","35320","3662","catechol sulfate","Xenobiotics","Benzoate Metabolism","35320","LC/MS Neg","100001605","1906","188.9863","4918-96-1","3083879",NA,"HMDB59724"
"62278","62278","3965","histidine betaine (hercynine)*","Xenobiotics","Food Component/Plant","62278","LC/MS Pos Early","100004059","2094","198.12370000000001","534-30-5","3083620",NA,NA
"31928","31928","295","2-methylbutyrylglycine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","31928","LC/MS Pos Early","100001155","2000","160.0968","52320-67-9","193872",NA,"HMDB00339"
"46510","46510",NA,"X - 12544",NA,NA,"46510","LC/MS Neg",NA,"3166.9","209.0822",NA,NA,NA,NA
"61883","61883","4824","glucuronide of C10H18O2 (3)*","Partially Characterized Molecules","Partially Characterized Molecules","61883","LC/MS Neg","100019992","2990","345.15550000000002",NA,NA,NA,NA
"57554","57554","3469","2'-O-methylcytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing","57554","LC/MS Pos Early","100010895","2411","258.10849999999999","2140-72-9","150971",NA,NA
"1559","1559","3440","5,6-dihydrouracil","Nucleotide","Pyrimidine Metabolism, Uracil containing","1559","LC/MS Neg","1125","1120","113.03570000000001","504-07-4","649","C00429","HMDB00076"
"35718","35718","1215","dihomo-linolenate (20:3n3 or n6)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)","35718","LC/MS Neg","100001739","5596","305.24860000000001","17046-59-2","5280581","C03242","HMDB02925"
"52929","52929","1432","3,4-methyleneheptanoylcarnitine","Lipid","Fatty Acid Metabolism(Acyl Carnitine)","52929","LC/MS Neg","100009234","4096","346.18709999999999",NA,NA,NA,NA
"18394","18394","3723","theophylline","Xenobiotics","Xanthine Metabolism","18394","LC/MS Neg","100000437","2356.9","179.0575","58-55-9","2153","C07130","HMDB01889"
"594","594","3499","nicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","594","LC/MS Pos Early","432","1942","123.0553","98-92-0","936","C00153","HMDB01406"
"54942","54942","2305","palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*","Lipid","Diacylglycerol","54942","LC/MS Pos Late","100010917","3695","612.55619999999999",NA,NA,"C13861","HMDB07102"
"48460","48460","3697","propyl 4-hydroxybenzoate sulfate","Xenobiotics","Benzoate Metabolism","48460","LC/MS Neg","100006264","3971","259.02820000000003","162338-10-5",NA,NA,NA
"53229","53229","15","2-methylserine","Amino Acid","Glycine, Serine and Threonine Metabolism","53229","LC/MS Pos Early","100009246","1652","120.0655",NA,"94309","C02115",NA
"15677","15677","67","3-methylhistidine","Amino Acid","Histidine Metabolism","15677","LC/MS Neg","100000042","906.3","168.0779","368-16-1","64969","C01152","HMDB00479"
"17747","17747","2404","sphingosine","Lipid","Sphingolipid Metabolism","17747","LC/MS Pos Late","297","1393","300.28969999999998","123-78-4","5353955","C00319","HMDB00252"
"49517","49517",NA,"X - 23641",NA,NA,"49517","LC/MS Pos Late",NA,"910","288.21660000000003",NA,NA,NA,NA
"1645","1645","1156","laurate (12:0)","Lipid","Medium Chain Fatty Acid","1645","LC/MS Neg","181","5300","199.1704","143-07-7","3893","C02679","HMDB00638"
"47011","47011",NA,"X - 21834",NA,NA,"47011","LC/MS Neg",NA,"3720","229.01840000000001",NA,NA,NA,NA
"40084","40084","3595","D-urobilin","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","40084","LC/MS Pos Late","100002569","935","589.3021","3947-38-4","6276321","C05795","HMDB04161"
"49532","49532",NA,"X - 23655",NA,NA,"49532","LC/MS Pos Early",NA,"2200","110.06019999999999",NA,NA,NA,NA
"46898","46898",NA,"X - 21729",NA,NA,"46898","LC/MS Neg",NA,"1024","87.045299999999997",NA,NA,NA,NA
"52639","52639",NA,"X - 24410",NA,NA,"52639","LC/MS Pos Early",NA,"881","116.0705",NA,NA,NA,NA
"52690","52690","2008","1-linoleoyl-GPA (18:2)*","Lipid","Lysophospholipid","52690","LC/MS Pos Late","100009082","1550","435.25060000000002",NA,NA,NA,"HMDB07856"
"57714","57714",NA,"X - 24947",NA,NA,"57714","LC/MS Neg",NA,"4518","387.1848",NA,NA,NA,NA
"35160","35160","1426","oleoylcarnitine (C18:1)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)","35160","LC/MS Pos Late","100001501","1423","426.3578","38677-66-6","6441392",NA,"HMDB05065"
"1121","1121","1167","margarate (17:0)","Lipid","Long Chain Fatty Acid","1121","LC/MS Neg","891","5731","269.24860000000001","506-12-7","10465",NA,"HMDB02259"
"40478","40478","3940","equol sulfate","Xenobiotics","Food Component/Plant","40478","LC/MS Neg","100003429","3630","321.04379999999998",NA,NA,NA,NA
"42027","42027","618","histidylalanine","Peptide","Dipeptide","42027","LC/MS Neg","100003542","970","225.0993","16874-75-2","351667",NA,"HMDB28878"
"46738","46738",NA,"X - 16071",NA,NA,"46738","LC/MS Neg",NA,"3692","144.0455",NA,NA,NA,NA
"54956","54956","2341","linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*","Lipid","Diacylglycerol","54956","LC/MS Pos Late","100010923","2650","658.54049999999995",NA,NA,NA,"HMDB07257"
"52454","52454","1756","1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*","Lipid","Phosphatidylcholine (PC)","52454","LC/MS Pos Late","100008985","2199","784.58510000000001",NA,NA,NA,NA
"32504","32504","1205","docosapentaenoate (n3 DPA; 22:5n3)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)","32504","LC/MS Neg","100001181","5571","329.24860000000001","2234-74-4","6441454","C16513","HMDB06528"
"48051","48051",NA,"X - 17398",NA,NA,"48051","LC/MS Neg",NA,"1765","391.03469999999999",NA,NA,NA,NA
"39603","39603","4661","ethyl glucuronide","Xenobiotics","Chemical","39603","LC/MS Neg","100002849","793","221.0667","17685-04-0","152226",NA,"HMDB10325"
"52605","52605","2367","sphinganine-1-phosphate","Lipid","Sphingolipid Metabolism","52605","LC/MS Pos Late","100001876","1431","382.27170000000001","19794-97-9","520",NA,"HMDB01383"
"61878","61878","4849","glucuronide of C19H28O4 (2)*","Partially Characterized Molecules","Partially Characterized Molecules","61878","LC/MS Neg","100019988","3600","495.22359999999998",NA,NA,NA,NA
"590","590","349","hypotaurine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","590","LC/MS Pos Early","358","724","110.027","300-84-5","107812","C00519","HMDB00965"
"57476","57476","2416","sphingomyelin (d18:0/20:0, d16:0/22:0)*","Lipid","Sphingolipid Metabolism","57476","LC/MS Pos Late","100015786","2600","761.65309999999999",NA,NA,NA,NA
"57479","57479","2411","sphingomyelin (d18:2/24:2)*","Lipid","Sphingolipid Metabolism","57479","LC/MS Pos Late","100015789","2215","809.65309999999999",NA,NA,NA,NA
"42459","42459","2392","sphingomyelin (d18:2/16:0, d18:1/16:1)*","Lipid","Sphingolipid Metabolism","42459","LC/MS Pos Late","100004329","2002","701.55920000000003",NA,NA,NA,NA
"48698","48698","4790","6-hydroxyindole sulfate","Xenobiotics","Chemical","48698","LC/MS Neg","100006260","2498","212.00229999999999",NA,NA,NA,NA
"1561","1561","3545","alpha-tocopherol","Cofactors and Vitamins","Tocopherol Metabolism","1561","LC/MS Pos Late","1105","2522","430.37819999999999","59-02-9;10191-41-0","14985","C02477","HMDB01893"
"47275","47275",NA,"X - 16343",NA,NA,"47275","LC/MS Neg",NA,"2064","278.11470000000003",NA,NA,NA,NA
"27731","27731","949","ribonate","Carbohydrate","Pentose Metabolism","27731","LC/MS Polar","100001007","2425","165.04050000000001","1255190","5460677","C01685","HMDB00867"
"46623","46623",NA,"X - 12729",NA,NA,"46623","LC/MS Neg",NA,"2021","227.9973",NA,NA,NA,NA
"46318","46318",NA,"X - 12714",NA,NA,"46318","LC/MS Neg",NA,"1617","303.07260000000002",NA,NA,NA,NA
"40499","40499","47","4-hydroxyglutamate","Amino Acid","Glutamate Metabolism","40499","LC/MS Pos Early","100002544","1141","164.05539999999999","2485-33-8","439902","C03079","HMDB01344"
"49228","49228",NA,"X - 23369",NA,NA,"49228","LC/MS Neg",NA,"2150","188.035",NA,NA,NA,NA
"37182","37182","2654","5alpha-androstan-3alpha,17alpha-diol disulfate","Lipid","Androgenic Steroids","37182","LC/MS Neg","100002007","4547","225.06970000000001",NA,NA,NA,NA
"21151","21151","4060","saccharin","Xenobiotics","Food Component/Plant","21151","LC/MS Neg","100000870","2000","181.99170000000001","81-07-2","5143","D01085","HMDB29723"
"1124","1124","1671","myo-inositol","Lipid","Inositol Metabolism","1124","LC/MS Polar","363","3506.3","225.0616","87-89-8","892","C00137","HMDB00211"
"33941","33941","1413","decanoylcarnitine (C10)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)","33941","LC/MS Pos Late","100001251","1130","316.2482","1492-27-9","10245190",NA,"HMDB00651"
"46982","46982",NA,"X - 11838",NA,NA,"46982","LC/MS Neg",NA,"2285","276.0016",NA,NA,NA,NA
"34400","34400","3727","1,7-dimethylurate","Xenobiotics","Xanthine Metabolism","34400","LC/MS Neg","100001399","1578.6","195.05240000000001","33868-03-0","91611","C16356","HMDB11103"
"47773","47773",NA,"X - 22509",NA,NA,"47773","LC/MS Neg",NA,"3562","473.1463",NA,NA,NA,NA
"52788","52788",NA,"X - 24471",NA,NA,"52788","LC/MS Pos Early",NA,"2030","173.1395",NA,NA,NA,NA
"46598","46598",NA,"X - 11438",NA,NA,"46598","LC/MS Neg",NA,"3121","241.14410000000001",NA,NA,NA,NA
"37196","37196","2589","5alpha-pregnan-3beta,20beta-diol monosulfate (1)","Lipid","Progestin Steroids","37196","LC/MS Neg","100002009","5180","399.22109999999998",NA,NA,NA,NA
"42109","42109","1131","phosphate","Energy","Oxidative Phosphorylation","42109","LC/MS Pos Early","461","576","98.984200000000001","7664-38-2","1061","C00009","HMDB01429"
"34390","34390","3732","7-methylxanthine","Xenobiotics","Xanthine Metabolism","34390","LC/MS Pos Early","100001396","1350","167.0564","552-62-5","68374","C16353","HMDB01991"
"46904","46904",NA,"X - 21735",NA,NA,"46904","LC/MS Neg",NA,"3172","253.1446",NA,NA,NA,NA
"45966","45966","2098","1-stearoyl-GPS (18:0)*","Lipid","Lysophospholipid","45966","LC/MS Neg","100004327","5800","524.29939999999999",NA,"9547101",NA,NA
"52604","52604","2370","N-palmitoyl-sphinganine (d18:0/16:0)","Lipid","Sphingolipid Metabolism","52604","LC/MS Pos Late","100009028","3090","540.53499999999997","5966-29-0","5283572",NA,"HMDB11760"
"62292","62292","4031","glucuronide of piperine metabolite C17H21NO3 (5)*","Xenobiotics","Food Component/Plant","62292","LC/MS Neg","100020493","4039","462.17700000000002",NA,NA,NA,NA
"35157","35157","3377","N6-carbamoylthreonyladenosine","Nucleotide","Purine Metabolism, Adenine containing","35157","LC/MS Neg","100001415","2164","411.12700000000001","24719-82-2","161466",NA,"HMDB41623"
"32578","32578",NA,"X - 11261",NA,NA,"32578","LC/MS Pos Late",NA,"870","286.20080000000002",NA,NA,NA,NA
"54885","54885","2110","1-linoleoyl-GPG (18:2)*","Lipid","Lysophospholipid","54885","LC/MS Neg","100009227","5516","507.27280000000002",NA,NA,NA,NA
"48693","48693","4673","3-acetylphenol sulfate","Xenobiotics","Chemical","48693","LC/MS Neg","100004326","2477","215.00200000000001",NA,NA,NA,NA
"17769","17769","2366","sphinganine","Lipid","Sphingolipid Metabolism","17769","LC/MS Pos Late","313","1413","302.30540000000002","3102-56-5","3126","C00836","HMDB00269"
"43400","43400","3753","2-piperidinone","Xenobiotics","Food Component/Plant","43400","LC/MS Pos Early","100004295","1675","100.0757","675-20-7","12665",NA,"HMDB11749"
"53176","53176","1818","1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*","Lipid","Phosphatidylcholine (PC)","53176","LC/MS Pos Late","100009343","1939","780.55380000000002",NA,NA,NA,"HMDB08141"
"1493","1493","361","ornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","1493","LC/MS Pos Early","444","2800","133.09719999999999","3184-13-2","6262","C00077","HMDB03374"
"27672","27672","250","3-indoxyl sulfate","Amino Acid","Tryptophan Metabolism","27672","LC/MS Neg","100000467","2222.1999999999998","212.00229999999999","2642-37-7","10258",NA,"HMDB00682"
"36812","36812","2007","1-oleoyl-GPA (18:1)","Lipid","Lysophospholipid","36812","LC/MS Pos Late","100001671","1635","437.2663","325465-93-8","5497152",NA,NA
"57443","57443","2477","ceramide (d18:2/24:1, d18:1/24:2)*","Lipid","Ceramides","57443","LC/MS Pos Late","100015744","3858","646.61329999999998",NA,NA,NA,NA
"48011","48011",NA,"X - 17359",NA,NA,"48011","LC/MS Neg",NA,"4606","541.26589999999999",NA,NA,NA,NA
"53263","53263","1477","docosahexaenoylcholine","Lipid","Fatty Acid Metabolism (Acyl Choline)","53263","LC/MS Pos Late","100009333","1378","414.33670000000001",NA,NA,NA,NA
"46603","46603",NA,"X - 11530",NA,NA,"46603","LC/MS Neg",NA,"4892","313.11959999999999",NA,NA,NA,NA
"47815","47815",NA,"X - 17325",NA,NA,"47815","LC/MS Pos Early",NA,"2700","186.11240000000001",NA,NA,NA,NA
"54837","54837",NA,"X - 24809",NA,NA,"54837","LC/MS Pos Early",NA,"2180","217.15459999999999",NA,NA,NA,NA
"57652","57652","1199","hexadecadienoate (16:2n6)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)","57652","LC/MS Neg","100009394","5398","251.20169999999999","28290-73-5",NA,NA,"HMDB00477"
"19260","19260","2099","1-oleoyl-GPS (18:1)","Lipid","Lysophospholipid","19260","LC/MS Neg","100000630","5607","522.28369999999995","326589-90-6","9547099",NA,"HMDB61694"
"46695","46695",NA,"X - 18913",NA,NA,"46695","LC/MS Neg",NA,"4538","185.1182",NA,NA,NA,NA
"18368","18368","430","cys-gly, oxidized","Amino Acid","Glutathione Metabolism","18368","LC/MS Pos Early","1224","2947","355.07409999999999","7729-20-6","333293",NA,NA
"49681","49681",NA,"X - 23782",NA,NA,"49681","LC/MS Pos Late",NA,"1627","349.27319999999997",NA,NA,NA,NA
"1806","1806","3610","retinol (Vitamin A)","Cofactors and Vitamins","Vitamin A Metabolism","1806","LC/MS Pos Late","498","1636","269.22640000000001","68-26-8","445354","C00473","HMDB00305"
"46618","46618",NA,"X - 12442",NA,NA,"46618","LC/MS Neg",NA,"5315","223.1705",NA,NA,NA,NA
"48258","48258","2028","1-oleoyl-GPC (18:1)","Lipid","Lysophospholipid","48258","LC/MS Pos Late","100001272","1540","522.35540000000003","19420-56-5","16081932",NA,"HMDB02815"
"46799","46799","2326","oleoyl-linoleoyl-glycerol (18:1/18:2) [2]","Lipid","Diacylglycerol","46799","LC/MS Pos Late","100002990","3223","636.55619999999999","104346-53-4",NA,NA,"HMDB07219"
